,Employment Matrix Code,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
450,41-3041,2.4,19.6,31.1,10.9,28.9,5.2,1.8
451,41-3091,2.1,12.7,21.5,8.5,44.5,9.3,1.4
452,41-4011,2.9,17.3,22.1,8.4,40.7,7.8,0.9
453,41-4012,2.9,17.3,22.1,8.4,40.7,7.8,0.9
454,41-9011,8.2,31.5,27.7,10.6,14.3,7.0,0.7
455,41-9012,8.2,31.5,27.7,10.6,14.3,7.0,0.7
456,41-9021,1.1,11.8,26.2,10.6,38.6,9.6,2.1
457,41-9022,1.1,11.8,26.2,10.6,38.6,9.6,2.1
458,41-9031,0.5,2.8,13.8,8.0,55.3,16.7,2.9
459,41-9041,5.4,30.7,33.6,10.8,15.5,3.5,0.5
460,41-9091,10.5,28.2,26.0,7.7,20.7,5.6,1.3
461,41-9099,3.9,19.1,19.7,8.0,37.6,10.1,1.6
