,Employment Matrix title,Employment Matrix code,2019 Employment,2029 Employment,"Number of Employment changes, 2019-29","Percent Employment change, 2019-29"
9,Travel agents,41-3041,82.0,60.8,-21.3,-25.9
21,"Door-to-door sales workers, news and street vendors, and related workers",41-9091,72.9,58.3,-14.6,-20.0
